cod_transacao,num_conta,data_transacao,nome_transacao,valor_transacao,hora_transacao
3100,256,20200522,Saque,-130.0,03:15:21 UTC
28405,256,20210629,Saque,-255.0,11:52:38 UTC
1776,512,20200517,Saque,-250.0,13:04:50 UTC
14311,512,20200906,Saque,-80.0,02:55:34 UTC
25012,512,20201016,Saque,-475.0,09:26:52 UTC
26883,512,20201109,Saque,-210.0,00:47:27 UTC
35017,512,20210413,Saque,-50.0,08:17:24 UTC
46264,512,20210501,Saque,-1160.0,06:25:50 UTC
21340,768,20200214,Saque,-170.0,21:42:15 UTC
64259,1,20190811,Saque,-245.0,15:13:07 UTC
28202,257,20221226,Saque,-215.0,05:13:37 UTC
50107,257,20221230,Saque,-175.0,00:00:00.041757 UTC
9740,513,20220919,Saque,-130.0,08:58:15 UTC
18182,513,20220930,Saque,-140.0,20:55:16 UTC
65003,513,20221230,Saque,-35.0,00:00:00.78042 UTC
70201,513,20221230,Saque,-250.0,00:00:00.909153 UTC
47384,769,20191128,Saque,-120.0,16:30:32 UTC
53165,769,20191207,Saque,-360.0,14:39:41 UTC
56160,769,20191208,Saque,-130.0,05:54:14 UTC
71523,769,20220829,Saque,-130.0,02:51:43 UTC
51163,2,20221230,Saque,-190.0,00:00:00.704939 UTC
53595,2,20221230,Saque,-35.0,00:00:00.015556 UTC
71539,2,20221230,Saque,-65.0,00:00:00.757986 UTC
46162,258,20160102,Saque,-215.0,01:00:36 UTC
39404,514,20221229,Saque,-345.0,23:59:59.039768 UTC
42072,514,20221229,Saque,-110.0,23:59:59.120078 UTC
57169,514,20221229,Saque,-85.0,23:59:59.622998 UTC
58524,514,20221229,Saque,-820.0,23:59:59.336943 UTC
16523,770,20221229,Saque,-75.0,22:26:58 UTC
23616,770,20221229,Saque,-400.0,23:59:25 UTC
42140,3,20201220,Saque,-100.0,15:46:11 UTC
60681,3,20210716,Saque,-80.0,19:06:36 UTC
2946,259,20191114,Saque,-565.0,05:48:27 UTC
13546,259,20200608,Saque,-250.0,02:56:17 UTC
51920,259,20221229,Saque,-215.0,23:59:52 UTC
34167,771,20201030,Saque,-860.0,23:56:12 UTC
35751,771,20201130,Saque,-90.0,17:59:02 UTC
40239,4,20191227,Saque,-35.0,06:41:30 UTC
41314,4,20200113,Saque,-260.0,20:49:52 UTC
51740,4,20200405,Saque,-735.0,13:26:51 UTC
69658,4,20201119,Saque,-140.0,10:16:56 UTC
24975,516,20201103,Saque,-20.0,02:18:21 UTC
53075,516,20221229,Saque,-520.0,23:29:16 UTC
14511,772,20180228,Saque,-195.0,09:49:42 UTC
16095,772,20180302,Saque,-300.0,19:27:29 UTC
32383,772,20200531,Saque,-205.0,10:17:46 UTC
13629,5,20160101,Saque,-50.0,15:37:56 UTC
21656,5,20160220,Saque,-170.0,12:39:02 UTC
46080,5,20170815,Saque,-275.0,13:00:18 UTC
51579,5,20170913,Saque,-390.0,10:09:06 UTC
64937,5,20180610,Saque,-185.0,13:38:31 UTC
68430,5,20180724,Saque,-515.0,01:22:33 UTC
8427,261,20160510,Saque,-105.0,09:28:47 UTC
18786,517,20210317,Saque,-195.0,17:29:28 UTC
30913,517,20220811,Saque,-310.0,06:05:29 UTC
67325,517,20221229,Saque,-210.0,23:59:52 UTC
67670,517,20221229,Saque,-65.0,23:59:59 UTC
8469,773,20180316,Saque,-235.0,00:01:21 UTC
35187,773,20200209,Saque,-170.0,05:46:29 UTC
49018,773,20200427,Saque,-155.0,08:10:04 UTC
51264,773,20200620,Saque,-315.0,12:06:33 UTC
62479,773,20200705,Saque,-350.0,21:19:05 UTC
17220,6,20101004,Saque,-310.0,12:27:37 UTC
28307,6,20131020,Saque,-105.0,02:43:00 UTC
56011,6,20160303,Saque,-125.0,17:37:12 UTC
62369,6,20160924,Saque,-35.0,23:09:00 UTC
68342,6,20161002,Saque,-570.0,12:50:28 UTC
19072,262,20210808,Saque,-100.0,03:00:34 UTC
39236,262,20221211,Saque,-45.0,07:56:38 UTC
57340,262,20221229,Saque,-20.0,23:58:50 UTC
15972,518,20200224,Saque,-100.0,16:47:31 UTC
22464,518,20200407,Saque,-510.0,13:32:29 UTC
23183,518,20200415,Saque,-155.0,05:11:53 UTC
29191,518,20210213,Saque,-170.0,18:55:14 UTC
6423,774,20180906,Saque,-305.0,15:52:37 UTC
16296,774,20190531,Saque,-200.0,00:51:25 UTC
30517,774,20190706,Saque,-155.0,07:36:03 UTC
33510,774,20190801,Saque,-255.0,18:27:42 UTC
7673,7,20220324,Saque,-145.0,01:51:06 UTC
9816,7,20220619,Saque,-145.0,15:30:05 UTC
23723,7,20221017,Saque,-165.0,21:49:29 UTC
59321,7,20221230,Saque,-125.0,00:00:00.793974 UTC
71149,263,20221230,Saque,-120.0,00:00:00.350215 UTC
39583,775,20191031,Saque,-3085.0,15:06:29 UTC
3465,8,20211115,Saque,-80.0,08:08:51 UTC
34732,8,20221203,Saque,-55.0,19:40:59 UTC
66930,8,20221230,Saque,-190.0,00:00:00.208779 UTC
13173,520,20210203,Saque,-135.0,14:42:05 UTC
19295,520,20210306,Saque,-125.0,21:44:46 UTC
21769,520,20210803,Saque,-215.0,20:53:09 UTC
33666,520,20211218,Saque,-110.0,20:44:46 UTC
52095,776,20221229,Saque,-90.0,23:59:59.557334 UTC
12181,9,20221230,Saque,-265.0,16:23:13.59695 UTC
44978,9,20221230,Saque,-85.0,16:23:13.712998 UTC
59499,9,20221230,Saque,-575.0,16:23:13.860183 UTC
32179,265,20200325,Saque,-95.0,14:19:44 UTC
54854,265,20210108,Saque,-440.0,02:24:48 UTC
55815,265,20220915,Saque,-285.0,14:01:10 UTC
8052,521,20221117,Saque,-160.0,13:54:52 UTC
30093,521,20221229,Saque,-365.0,16:05:00 UTC
48929,521,20221230,Saque,-100.0,00:00:00.077222 UTC
51308,777,20221229,Saque,-140.0,23:59:59.974982 UTC
59011,777,20221229,Saque,-80.0,23:59:59.891406 UTC
22540,10,20210512,Saque,-130.0,05:55:06 UTC
29438,10,20220612,Saque,-80.0,21:06:15 UTC
44734,10,20221227,Saque,-445.0,09:14:06 UTC
12388,266,20161011,Saque,-40.0,03:08:19 UTC
15810,266,20181205,Saque,-210.0,17:29:21 UTC
24977,266,20200202,Saque,-180.0,18:07:07 UTC
27283,266,20200216,Saque,-1140.0,11:05:34 UTC
38718,266,20200703,Saque,-270.0,18:27:26 UTC
43848,266,20201019,Saque,-120.0,16:14:57 UTC
44722,266,20201019,Saque,-50.0,18:48:18 UTC
36117,522,20180423,Saque,-300.0,22:38:54 UTC
56909,522,20200824,Saque,-75.0,03:29:35 UTC
18149,11,20120801,Saque,-235.0,18:04:04 UTC
38618,11,20140915,Saque,-145.0,19:49:41 UTC
44427,11,20140916,Saque,-175.0,06:19:39 UTC
56189,11,20221219,Saque,-655.0,06:42:23 UTC
63414,11,20221229,Saque,-95.0,22:19:40 UTC
22955,267,20221229,Saque,-840.0,23:56:15 UTC
46180,267,20221230,Saque,-75.0,00:00:00.142462 UTC
3645,523,20130602,Saque,-65.0,03:31:37 UTC
38984,523,20131229,Saque,-55.0,11:10:50 UTC
42980,523,20131230,Saque,-95.0,09:53:21 UTC
58561,523,20140606,Saque,-230.0,02:23:18 UTC
14936,779,20140807,Saque,-45.0,09:01:46 UTC
15752,779,20140811,Saque,-210.0,03:11:17 UTC
33537,779,20150117,Saque,-115.0,21:35:01 UTC
35323,779,20160728,Saque,-240.0,01:14:04 UTC
53676,779,20200914,Saque,-240.0,00:49:23 UTC
65848,779,20210323,Saque,-65.0,02:57:31 UTC
66934,779,20210324,Saque,-100.0,19:44:04 UTC
6103,12,20160206,Saque,-90.0,19:59:11 UTC
37428,12,20170329,Saque,-45.0,13:23:46 UTC
17606,524,20220819,Saque,-255.0,15:02:48 UTC
65455,524,20221229,Saque,-115.0,18:47:18 UTC
9687,780,20180603,Saque,-250.0,14:36:08 UTC
12757,780,20180606,Saque,-370.0,08:38:27 UTC
43121,780,20211101,Saque,-690.0,00:26:10 UTC
65293,780,20220118,Saque,-145.0,15:06:53 UTC
1798,13,20230108,Saque,-20.0,07:02:40.449088 UTC
27639,269,20180525,Saque,-25.0,23:55:30 UTC
33570,269,20180814,Saque,-225.0,13:18:40 UTC
54788,269,20190909,Saque,-70.0,00:51:33 UTC
56452,269,20191107,Saque,-350.0,23:12:46 UTC
60876,269,20191118,Saque,-215.0,17:09:23 UTC
43403,525,20160603,Saque,-190.0,06:17:57 UTC
45386,525,20160615,Saque,-40.0,03:09:39 UTC
58995,525,20171005,Saque,-100.0,00:51:26 UTC
71831,525,20171021,Saque,-1330.0,07:21:47 UTC
2923,781,20140927,Saque,-145.0,23:58:03 UTC
8520,781,20141031,Saque,-320.0,20:11:12 UTC
15369,781,20150418,Saque,-170.0,10:49:24 UTC
15704,781,20150419,Saque,-385.0,04:40:56 UTC
21972,781,20151019,Saque,-185.0,00:46:51 UTC
16383,14,20220805,Saque,-165.0,04:18:10 UTC
45047,14,20221229,Saque,-90.0,18:35:12 UTC
30353,270,20211210,Saque,-195.0,01:55:16 UTC
55044,526,20220918,Saque,-40.0,11:47:22 UTC
63896,526,20221210,Saque,-345.0,00:41:24 UTC
67818,526,20221229,Saque,-325.0,11:49:03 UTC
16318,782,20190314,Saque,-105.0,12:17:06 UTC
21680,782,20190403,Saque,-570.0,20:34:44 UTC
52349,782,20210715,Saque,-100.0,11:52:12 UTC
69692,782,20220215,Saque,-115.0,07:38:02 UTC
12765,15,20221227,Saque,-225.0,07:25:46 UTC
24592,15,20221229,Saque,-650.0,23:40:22 UTC
29490,15,20221230,Saque,-340.0,00:00:00.26757 UTC
17546,527,20200828,Saque,-430.0,13:21:26 UTC
53568,527,20201203,Saque,-220.0,09:09:39 UTC
54494,527,20201203,Saque,-100.0,14:05:03 UTC
63644,527,20210419,Saque,-145.0,16:54:18 UTC
46412,783,20171127,Saque,-995.0,18:34:07 UTC
51490,783,20181113,Saque,-425.0,05:54:46 UTC
68914,783,20190107,Saque,-190.0,19:33:10 UTC
30688,16,20211120,Saque,-140.0,01:38:04 UTC
37624,272,20221229,Saque,-95.0,15:44:25 UTC
59712,272,20221229,Saque,-280.0,23:59:59.508152 UTC
13562,528,20160412,Saque,-50.0,14:38:46 UTC
52966,528,20170313,Saque,-650.0,14:40:27 UTC
55668,528,20170325,Saque,-220.0,13:21:43 UTC
60003,528,20170404,Saque,-300.0,18:58:47 UTC
69033,528,20180903,Saque,-190.0,02:07:07 UTC
19616,784,20221227,Saque,-265.0,17:51:14 UTC
36328,784,20221229,Saque,-170.0,23:59:55 UTC
37823,784,20221229,Saque,-615.0,23:59:59 UTC
40577,784,20221229,Saque,-710.0,23:59:59.47353 UTC
41410,784,20221229,Saque,-195.0,23:59:59.954143 UTC
12574,17,20220427,Saque,-60.0,14:40:05 UTC
2893,273,20200803,Saque,-380.0,12:52:31 UTC
50087,273,20221229,Saque,-345.0,22:26:18 UTC
23691,529,20200903,Saque,-70.0,03:56:46 UTC
27407,529,20201019,Saque,-25.0,17:51:35 UTC
27619,529,20201024,Saque,-290.0,19:43:59 UTC
14532,785,20210623,Saque,-110.0,16:22:14 UTC
21278,785,20210810,Saque,-105.0,04:13:31 UTC
68099,785,20221229,Saque,-85.0,23:59:54 UTC
33798,18,20221229,Saque,-655.0,21:48:02 UTC
37757,18,20221229,Saque,-1335.0,23:59:38 UTC
33902,274,20221229,Saque,-1590.0,05:13:37 UTC
42236,274,20221230,Saque,-530.0,00:00:00.923338 UTC
2013,530,20180324,Saque,-245.0,01:16:28 UTC
13414,530,20180420,Saque,-115.0,15:28:40 UTC
65181,530,20190302,Saque,-425.0,08:38:49 UTC
52088,786,20221230,Saque,-585.0,00:00:00.103477 UTC
57126,786,20221230,Saque,-60.0,00:00:00.781135 UTC
1651,19,20191012,Saque,-140.0,15:37:40 UTC
10991,19,20191023,Saque,-245.0,20:18:30 UTC
43122,19,20220103,Saque,-405.0,21:40:24 UTC
57514,19,20221229,Saque,-155.0,18:10:39 UTC
58572,19,20221229,Saque,-50.0,19:12:34 UTC
59582,19,20221229,Saque,-120.0,22:40:17 UTC
70625,19,20221229,Saque,-80.0,23:59:59.146268 UTC
36169,275,20221229,Saque,-335.0,23:59:51 UTC
44206,275,20221229,Saque,-90.0,23:59:58 UTC
52892,275,20221230,Saque,-60.0,00:00:00.092662 UTC
50541,787,20221219,Saque,-120.0,00:41:24 UTC
59395,787,20221229,Saque,-80.0,23:59:31 UTC
25643,20,20220916,Saque,-30.0,11:20:18 UTC
49327,20,20221115,Saque,-65.0,13:53:38 UTC
35973,276,20221120,Saque,-40.0,04:27:43 UTC
24369,532,20220309,Saque,-190.0,03:06:11 UTC
17406,788,20220129,Saque,-30.0,18:58:24 UTC
40208,788,20221207,Saque,-180.0,21:11:33 UTC
3144,21,20160729,Saque,-65.0,18:59:45 UTC
23424,21,20171028,Saque,-25.0,22:51:19 UTC
29011,21,20171126,Saque,-80.0,18:43:52 UTC
47439,21,20220723,Saque,-215.0,03:52:29 UTC
48985,21,20220812,Saque,-215.0,02:31:29 UTC
55260,21,20220915,Saque,-195.0,11:56:27 UTC
18527,277,20150515,Saque,-140.0,01:27:09 UTC
17385,533,20211212,Saque,-205.0,21:24:32 UTC
46784,533,20221228,Saque,-275.0,08:13:22 UTC
15662,789,20220521,Saque,-205.0,22:30:02 UTC
41000,789,20221228,Saque,-125.0,10:51:46 UTC
70082,789,20221230,Saque,-190.0,00:00:00.732251 UTC
5005,22,20201213,Saque,-80.0,15:10:03 UTC
67390,22,20221230,Saque,-60.0,00:00:00.284247 UTC
34251,278,20221122,Saque,-730.0,21:46:11 UTC
70173,278,20221229,Saque,-120.0,23:59:59.145075 UTC
71881,278,20221229,Saque,-305.0,23:59:59.45867 UTC
1171,534,20150212,Saque,-680.0,04:18:07 UTC
4094,534,20150212,Saque,-170.0,23:57:42 UTC
39044,534,20170927,Saque,-130.0,18:25:58 UTC
19747,23,20161204,Saque,-70.0,06:04:00 UTC
31337,23,20170320,Saque,-70.0,08:07:42 UTC
35403,23,20180517,Saque,-190.0,16:04:51 UTC
41421,23,20180703,Saque,-235.0,00:51:16 UTC
18855,279,20221219,Saque,-125.0,15:28:48 UTC
26131,279,20221229,Saque,-85.0,23:56:51 UTC
33007,279,20221229,Saque,-25.0,23:59:59.316829 UTC
2685,535,20140910,Saque,-230.0,08:53:53 UTC
42769,535,20200418,Saque,-40.0,09:49:32 UTC
65869,535,20210111,Saque,-55.0,21:57:03 UTC
2844,791,20151112,Saque,-105.0,09:41:52 UTC
3563,791,20151113,Saque,-490.0,04:36:58 UTC
7088,791,20151113,Saque,-110.0,10:20:55 UTC
30009,791,20180719,Saque,-35.0,16:22:20 UTC
63281,791,20221220,Saque,-530.0,15:39:21 UTC
16839,24,20181009,Saque,-70.0,00:39:22 UTC
49431,24,20221229,Saque,-40.0,19:38:27 UTC
57412,24,20221229,Saque,-195.0,23:59:58 UTC
3603,280,20180420,Saque,-330.0,13:51:55 UTC
5471,280,20180918,Saque,-135.0,04:15:27 UTC
6197,280,20180923,Saque,-270.0,02:03:43 UTC
10769,280,20180925,Saque,-110.0,07:12:33 UTC
11437,280,20181201,Saque,-995.0,05:08:13 UTC
18976,280,20190123,Saque,-635.0,17:00:18 UTC
22681,280,20190510,Saque,-690.0,23:26:59 UTC
33674,280,20190913,Saque,-175.0,23:58:47 UTC
39457,280,20200407,Saque,-95.0,14:25:44 UTC
48412,280,20201003,Saque,-425.0,18:42:54 UTC
50333,280,20201017,Saque,-455.0,08:07:07 UTC
53248,280,20201018,Saque,-35.0,12:59:17 UTC
56572,280,20201018,Saque,-70.0,18:10:47 UTC
63302,280,20220830,Saque,-105.0,08:45:28 UTC
51839,536,20221230,Saque,-200.0,00:00:00.93585 UTC
61545,792,20221229,Saque,-90.0,23:59:59.659963 UTC
10019,25,20221107,Saque,-255.0,16:35:36 UTC
31281,25,20221229,Saque,-870.0,23:59:59.507483 UTC
33345,25,20221229,Saque,-875.0,23:59:59.513134 UTC
35094,281,20221229,Saque,-50.0,01:58:40 UTC
70958,281,20221230,Saque,-570.0,00:00:00.638648 UTC
3929,537,20200327,Saque,-455.0,06:17:33 UTC
17782,537,20201112,Saque,-670.0,08:26:38 UTC
44925,537,20221019,Saque,-255.0,13:13:25 UTC
67305,537,20221229,Saque,-185.0,23:24:33 UTC
70829,793,20221230,Saque,-225.0,00:00:00.087299 UTC
4943,26,20120906,Saque,-150.0,00:50:16 UTC
10865,26,20120930,Saque,-55.0,18:01:51 UTC
28725,26,20130606,Saque,-45.0,22:41:36 UTC
30225,26,20131008,Saque,-130.0,07:07:45 UTC
37368,26,20140115,Saque,-135.0,14:28:33 UTC
46435,26,20200707,Saque,-85.0,23:02:39 UTC
65398,26,20201029,Saque,-180.0,01:52:08 UTC
67346,26,20201114,Saque,-75.0,12:21:46 UTC
8362,282,20171104,Saque,-245.0,22:49:52 UTC
16477,282,20171120,Saque,-155.0,14:25:17 UTC
32820,282,20221229,Saque,-40.0,23:28:30 UTC
39350,282,20221229,Saque,-435.0,23:59:37 UTC
46876,282,20221230,Saque,-655.0,00:00:00.106103 UTC
69312,282,20221230,Saque,-95.0,00:00:00.011461 UTC
23291,794,20210610,Saque,-180.0,22:46:54 UTC
28129,794,20210613,Saque,-475.0,07:21:27 UTC
41272,794,20210919,Saque,-40.0,12:01:04 UTC
26056,27,20221229,Saque,-95.0,23:59:39 UTC
42701,27,20221230,Saque,-85.0,00:00:00.094642 UTC
23210,283,20190129,Saque,-900.0,20:13:00 UTC
39074,283,20190419,Saque,-615.0,11:22:04 UTC
48379,283,20190609,Saque,-435.0,09:37:58 UTC
63656,283,20200204,Saque,-215.0,16:05:13 UTC
9830,539,20110506,Saque,-630.0,05:27:31 UTC
18089,539,20120221,Saque,-195.0,16:07:17 UTC
24017,539,20120224,Saque,-175.0,11:39:10 UTC
45524,539,20120928,Saque,-60.0,11:37:29 UTC
46015,539,20121027,Saque,-80.0,18:06:32 UTC
51725,539,20130319,Saque,-205.0,23:24:46 UTC
60734,539,20150202,Saque,-140.0,17:09:43 UTC
62231,539,20150203,Saque,-95.0,17:05:27 UTC
5485,795,20220329,Saque,-285.0,19:26:12 UTC
26351,795,20221229,Saque,-345.0,23:59:59.968575 UTC
7169,28,20170427,Saque,-35.0,18:11:20 UTC
31816,28,20170815,Saque,-1335.0,01:35:04 UTC
39994,28,20171020,Saque,-325.0,06:43:53 UTC
70497,28,20191124,Saque,-305.0,06:23:48 UTC
3129,284,20200309,Saque,-50.0,04:54:36 UTC
37031,540,20200112,Saque,-675.0,06:56:44 UTC
37456,540,20200112,Saque,-250.0,08:45:25 UTC
37681,540,20200112,Saque,-185.0,09:26:55 UTC
42280,540,20200113,Saque,-390.0,08:38:43 UTC
55719,540,20210515,Saque,-595.0,00:19:40 UTC
57393,540,20210517,Saque,-45.0,05:12:46 UTC
57605,540,20210517,Saque,-355.0,16:54:45 UTC
71755,540,20210819,Saque,-140.0,04:14:57 UTC
1177,796,20191129,Saque,-130.0,12:22:37 UTC
4904,796,20200315,Saque,-95.0,15:02:54 UTC
18721,796,20200401,Saque,-900.0,06:08:14 UTC
25522,796,20201124,Saque,-185.0,09:42:44 UTC
29600,796,20201223,Saque,-140.0,07:49:21 UTC
52239,796,20220531,Saque,-320.0,23:30:29 UTC
60745,796,20220713,Saque,-1615.0,03:03:32 UTC
22968,29,20220623,Saque,-70.0,22:26:26 UTC
8258,285,20170825,Saque,-250.0,02:45:09 UTC
11944,285,20201229,Saque,-45.0,02:27:32 UTC
17249,285,20221209,Saque,-25.0,06:58:57 UTC
43416,285,20221229,Saque,-910.0,23:59:57 UTC
46164,285,20221230,Saque,-355.0,00:00:00.871673 UTC
49423,285,20221230,Saque,-395.0,00:00:00.168954 UTC
5523,541,20190603,Saque,-35.0,03:39:03 UTC
26073,541,20211214,Saque,-20.0,00:43:50 UTC
57042,541,20221212,Saque,-75.0,12:30:58 UTC
39711,797,20221230,Saque,-40.0,00:00:00.438112 UTC
49643,797,20221230,Saque,-75.0,00:00:00.012529 UTC
26752,30,20200312,Saque,-180.0,09:38:49 UTC
54108,30,20221229,Saque,-50.0,19:10:45 UTC
15265,286,20211122,Saque,-680.0,06:28:32 UTC
15849,286,20211122,Saque,-285.0,14:45:19 UTC
44216,286,20220506,Saque,-395.0,04:29:06 UTC
57024,286,20221226,Saque,-300.0,18:46:39 UTC
25019,542,20220725,Saque,-35.0,18:43:37 UTC
54916,542,20221230,Saque,-105.0,00:00:00.534137 UTC
35248,798,20170511,Saque,-500.0,14:36:21 UTC
51268,798,20170904,Saque,-270.0,21:05:59 UTC
19754,31,20181029,Saque,-205.0,14:44:48 UTC
30617,31,20181207,Saque,-40.0,12:42:10 UTC
37663,31,20190204,Saque,-105.0,08:52:51 UTC
47865,31,20210828,Saque,-475.0,22:37:22 UTC
50032,31,20210829,Saque,-990.0,11:58:52 UTC
16148,287,20220817,Saque,-120.0,22:47:49 UTC
21273,287,20220913,Saque,-105.0,10:59:20 UTC
61249,287,20221229,Saque,-185.0,23:59:59.420248 UTC
27328,543,20180808,Saque,-110.0,19:05:18 UTC
48340,799,20221230,Saque,-80.0,00:00:00.724615 UTC
24722,32,20180707,Saque,-20.0,18:24:58 UTC
31919,32,20180711,Saque,-50.0,03:38:21 UTC
33771,32,20181229,Saque,-190.0,07:39:40 UTC
36235,32,20190122,Saque,-165.0,16:30:06 UTC
53669,32,20200415,Saque,-95.0,02:41:54 UTC
6090,288,20181224,Saque,-175.0,08:10:36 UTC
22399,288,20200910,Saque,-80.0,08:30:08 UTC
31271,288,20211009,Saque,-145.0,10:10:29 UTC
28695,544,20200707,Saque,-770.0,07:49:01 UTC
